2016 rank,City,State[5],2016 estimate,2010 Census,Change,2016 land area,2016 population density,Location
61,St. Louis[16],Missouri,"311,404","319,294",2.47%,62.0sqmi,160.6km2,"5,023/sqmi","1,939/km2",383809N 901441W / 38.6357N 90.2446W
62,Stockton,California,"307,072","291,707",+5.27%,61.7sqmi,159.8km2,"4,977/sqmi","1,922/km2",375835N 1211848W / 37.9763N 121.3133W
63,Pittsburgh,Pennsylvania,"303,625","305,704",0.68%,55.4sqmi,143.5km2,"5,481/sqmi","2,116/km2",402623N 795836W / 40.4398N 79.9766W
64,Saint Paul,Minnesota,"302,398","285,068",+6.08%,52.0sqmi,134.7km2,"5,815/sqmi","2,245/km2",445656N 930615W / 44.9489N 93.1041W
65,Cincinnati,Ohio,"298,800","296,943",+0.63%,77.4sqmi,200.5km2,"3,860/sqmi","1,490/km2",390825N 843021W / 39.1402N 84.5058W
66,Anchorage[19],Alaska,"298,192","291,826",+2.18%,"1,706.6sqmi","4,420.1km2",175/sqmi,68/km2,611027N 1491703W / 61.1743N 149.2843W
67,Henderson,Nevada,"292,969","257,729",+13.67%,104.7sqmi,271.2km2,"2,798/sqmi","1,080/km2",360035N 1150209W / 36.0097N 115.0357W
68,Greensboro,North Carolina,"287,027","269,666",+6.44%,128.3sqmi,332.3km2,"2,237/sqmi",864/km2,360542N 794937W / 36.0951N 79.8270W
69,Plano,Texas,"286,057","259,841",+10.09%,71.7sqmi,185.7km2,"3,990/sqmi","1,540/km2",330303N 964452W / 33.0508N 96.7479W
70,Newark,New Jersey,"281,764","277,140",+1.67%,24.1sqmi,62.4km2,"11,691/sqmi","4,514/km2",404327N 741021W / 40.7242N 74.1726W
71,Lincoln,Nebraska,"280,364","258,379",+8.51%,92.1sqmi,238.5km2,"3,044/sqmi","1,175/km2",404838N 964049W / 40.8105N 96.6803W
72,Toledo,Ohio,"278,508","287,208",3.03%,80.7sqmi,209.0km2,"3,451/sqmi","1,332/km2",413951N 833455W / 41.6641N 83.5819W
73,Orlando,Florida,"277,173","238,300",+16.31%,105.2sqmi,272.5km2,"2,635/sqmi","1,017/km2",282500N 811625W / 28.4166N 81.2736W
74,Chula Vista,California,"267,172","243,916",+9.53%,49.6sqmi,128.5km2,"5,387/sqmi","2,080/km2",323740N 1170055W / 32.6277N 117.0152W
