X,Y,OBJECTID,NAME,ADDRESS,UNIT_SUITE,ZIP_4,CONTACT,SEC_NAME,NAICS,CENSUS_TRACT,WARD
-77.0409212804712,38.9062615947682,24,ASSOCIATION OF PERFORMING ARTS PRESENTERS INC,1211 CONNECTICUT AVENUE NW,200,20036-2716,,,813920,010700,2
-77.0391630560538,38.9060149181494,25,AMERICAN IDEAS INSTITUTE,1710 RHODE ISLAND AVENUE NW,1200,20036-3128,,,511100,010700,2
-77.0368895774737,38.9852899968214,26,WASHINGTON ETHICAL SOCIETY,7750 16TH ST NW,,20012-1462,,,710000,001600,4
-77.0237324027707,38.9444298227737,27,TEATRO DE LA LUNA -THE MOON THEATRE,4411 KANSAS AVE NW,,20011-7223,,,711110,002400,4
-77.0266542931253,38.9486605635115,28,DC CARIBBEAN CARNIVAL INC,4809 GEORGIA AVE NW,112,20011-0000,LOUGHTON B SARGEANT,,710000,002201,4
-77.0326028255552,38.9064788813209,29,THOMAS CIRCLE SINGERS,5 THOMAS CIRCLE NW,,20005-4104,WARREN OHEARNE,,711130,005201,2
-77.0431682665645,38.9122637678762,30,BLUE LINE ARTS INC,1637 19TH ST NW,,20009-1637,ERIC BRAVERMAN,,711100,004202,2
-77.0440101813908,38.9124201088352,31,TRUST FOR ARCHITECTURAL EASEMENTS,1906 R ST NW,100,20009-1030,STEVEN MCLAIN,, ,004202,2
-77.0476889441902,38.9114447733687,32,PHILOSOPHICAL SOCIETY OF WASHINGTON,2121 MASSACHUSETTS AVE NW,,20008-3639,C/O COSMOS CLUB,,710000,005500,2
-77.0557817852799,38.9102865003292,33,CHAPTERS LITERARY ARTS CENTER,2700 Q ST NW,219-A,20007-5007,TERRI MERZ,,710000,000100,2
-77.03700930268,38.9215886052524,34,DC POETRY PROJECT INC,2420 16TH ST NW,405,20009-3504,MICHAEL ANTHONY INGRAM,,710000,003800,1
-77.0598369842093,38.9031781658612,35,MID-ATLANTIC ASSOCIATION OF MUSEUMS,1025 THOMAS JEFFERSON ST NW,500,20007-5201,,,813920,000100,2
-77.0032999692258,38.8859147614125,36,ANACOSTIA GRACIOUS ARTS PROGRAM,201 C ST SE,,20003-1910,FIRST ROCK BAPTIST CHURCH,,710000,006500,6
-77.0945863593676,38.9207410216586,37,AMERICAN-RUSSIAN EDUCATIONAL CENTER INC,2234 48TH ST NW,,20007-1035,,,710000,000801,3
-77.0625255719708,38.907899747467,38,DUMBARTON CONCERTS INC,3133 DUMBARTON ST NW,,20007-3309,,DUMB,711130,000100,2
-76.9822041633014,38.9409895314197,39,ACADEMY FOR LEARNING THROUGH THE ARTS,1600 TAYLOR ST NE,,20017-3035,PATRICIA MITCHELL,ALTA,611610,009503,5
-77.014387425743,38.9733270539076,40,A SALON LTD,6925 WILLOW ST NW,,20012-2000,,,813219,001702,4
-77.00973244694,38.8790328046103,41,WASHINGTON PROJECT FOR THE ARTS INC,10 I ST SW,,20024-4266,,,712110,010500,6
-77.0557184462483,38.8959192822561,42,JOHN F KENNEDY CENTER FOR THE PERFORMING ARTS,2700 F ST NW,,20566-0002,,,711100,006202,2
-76.9913708816245,38.9343646942594,43,WOMEN IN FILM & VIDEO INC,3628 12TH ST NE,,20017-2546,,HOUGHTON MELISSIA J EX DIR,512110,009301,5
-77.0315489184713,38.8970267006432,44,WASHINGTON PRESS CLUB FOUNDATION INC,529 14TH ST NW,1115,20045-2116,,,712120,005800,2
-77.0214487530495,38.8949876959578,45,NATIONAL NEW PLAY NETWORK LTD,641 D ST NW,,20004-2904,WOOLLY MAMMOTH THEATRE CO,,711110,005800,2
-76.9796865641785,38.8904101151272,46,DC YOUTH ORCHESTRA PROGRAM,1700 E CAPITOL ST NE,,20003-1622,,,813219,008002,6
-76.9966092620398,38.8959322518972,47,MOMENTUM DANCE THEATRE INC,651 E ST NE,,20002-5229,ROBERTA ROTHSTEIN,,711120,008302,6
-77.0492767492161,38.901944358231,48,GLENSTONE MUSEUM FOUNDATION,2200 PENNSYLVANIA AVE NW,800W,20037-1701,MICHAEL G RYAN,,712110,010800,2
-76.9964078859581,38.8934427831554,49,NATIONAL TRUST FOR THE HUMANITIES,232 7TH ST NE,,20002-6087,ROBERT G PERRY,,710000,008302,6
-77.0381181708614,38.9168075282787,50,ART CONNECTION IN THE CAPITAL REGION,1632 U ST NW,,20009-6210,ROBERT DAVIS,,813219,004201,2
-77.0430817096088,38.9083128299884,51,CENTER FOR THE STUDY OF CLASSICAL ARCHITECTURE INC,1350 CONNECTICUT AVENUE NW,210,20036-1722,DAVID NEUMANN,WASHINGTON MIDATLANTIC CPTR OF ICAA,710000,010700,2
-77.0382062932526,38.8998425290273,52,WHITE HOUSE HISTORICAL ASSOCIATION,740 JACKSON PLACE NW,,20006-0000,,,712120,010700,2
-77.0556867115288,38.9361897101092,53,EDUCATIONAL VIDEO IN SPANISH INC,2800 QUEBEC ST NW,1215,20008-1266,,,512110,001302,3
-77.06181165492,38.905757310835,54,ENVIRONMENTAL FILM FESTIVAL IN THE NATIONS CAPITAL,1228 1/2 31ST ST NW,,20007-3431,DONALD DAKIN,,512110,000100,2
-76.9377625740309,38.9038574952653,55,NGOMA CENTER FOR DANCE,1026 45TH ST NE,201,20019-3806,SHAWN L SHORT,,711120,007806,7
-77.0007942181681,38.8849803657551,56,MEDIA AND DEMOCRACY COALITION,309 4TH ST SE,5,20003-2042,BETH MCCONNELL,,510000,006500,6
-76.9620623283344,38.9320197595989,57,BLACK ARTISTS OF DC,3218 CHESTNUT ST NE,,20018-4003,CLAUDIA HUNTER,,710000,011100,5
-76.9921908698496,38.9359797602678,58,THE@SPOKEN WORD,1031 MICHIGAN AVE NE,205,20017-1859,JOY JONES,SPOKEN WORD,710000,009504,5
-76.9845363634449,38.8911125201079,59,BLUES ALLEY JAZZ SOCIETY,1426 A ST NE,,20002-8438,HARRY SCHNIPPER,,711130,008002,6
-77.0430410309365,38.9039527128469,60,ADAMS MEMORIAL FOUNDATION INC,1899 L STREET NW,600,20036-3804,RAFFA PC,,712120,010700,2
-77.056519927326,38.9430375068189,61,LEVINE MUSIC INC,2801 UPTON ST NW,,20008-3829,,,611610,001302,3
-77.0262272862382,38.9027620185567,62,INTERNATIONAL LEAGUE OF CONSERVATION PHOTOGRAPHERS INC,1003 K STREET NW,,20001-4425,,,710000,010100,2
-77.0133715491047,38.9204165831099,63,CRACK,137 ADAMS ST NW,,20001-1610,SHEA VAN HORN,,711100,003301,5
-77.0283926850561,38.8957168832037,64,DALLAS MORSE COORS FOUNDATION FOR THE PERFORMING ARTS TR,1201 PENNSYLVANIA AVE NW,,20004-2401,DORIS BLAZEK-WHITE,,813219,005800,2
-77.0339385124384,38.9028950680696,65,AMERICANS FOR THE ARTS INC,1000 VERMONT AVE NW,6th Floor,20005-4940,R BRENT STANLEY VP FINANCE,,813319,010100,2
-77.0323972697698,38.9032026005122,66,HERITAGE PRESERVATION INC,1012 14TH ST NW,1200,20005-3408,,,712120,010100,2
-77.0233832941082,38.9576461130324,67,ABIA STATE DEVELOPMENT UNION IN THE AMERICAS INC,729 LONGFELLOW ST NW,,20011-3033,SYLVANUS O NNAJI,,710000,002101,4
-77.02057117839,38.9389950894358,68,TEENS N THEATER,543 RANDOLPH ST NW,,20011-5905,KIA FOLSOM,TNT,711110,002400,4
-77.030634920733,38.9124345608318,69,RENOVATION IN MUSIC EDUCATION,1324 R ST NW,3,20009-4344,FRANK KLEIN,,611610,005001,2
-77.0510982814856,38.9138996364118,70,TEXTILE MUSEUM OF D C,2320 S ST NW,,20008-4088,,,710000,004100,2
-77.0201914771912,38.9040241172019,71,ERITREAN CULTURAL & CIVIC CENTER,600 L ST NW,,20001-3615,,,710000,004802,6
-77.1024184916917,38.9393716349316,72,NATIONAL ARTS TREASURE INITIATIVE INC,3815 52ND ST NW,,20016-1923,TIMOTHY E STRONG,,710000,000901,3
-77.0545047818709,38.9029511522748,73,TRANCE TEHILLIM MUSIC FOUNDATION,1001 26TH ST NW,605,20037-1604,HARPAUL ALBERTO KOHLI,,711130,005600,2
-77.028458596489,38.8991482434237,74,CHAMBER DANCE PROJECT,700 12TH ST NW,700,20005-4052,DIANE COBURN BRUNING,,711120,005800,2
-77.0403564940533,38.9016271728602,75,FOUNDATION FOR ART AND PRESERVATION IN EMBASSIES,1725 I ST NW,300,20006-2423,HARRISON WELLFORD,,712120,010700,2
-77.0408189201948,38.8996267959021,76,AMERICAN FRIENDS OF THE GDANSK THEATRE FOUNDATION,1747 PENNSYLVANIA AVE NW,1000,20006-4636,ALAN DYE,,813219,010700,2
-77.0347917263185,38.9470465731709,77,CAPITOL MOVEMENT INC,1500 CRITTENDEN ST NW,,20011-4341,AMBER YANCEY,,711120,002501,4
-76.9202492430908,38.8977744062513,78,SIGN OF THE TIMES CULTURAL WORKSHOP & GALLERY INC,605 56TH ST NE,,20019-6719,SIGN OF THE TIMES,,611610,007807,7
